654.4,-0.809,0.305,-0.25,,
654.5,-0.867,0.344,-0.254,,
654.6,-0.922,0.406,-0.262,,
654.7,-0.949,0.465,-0.258,,
654.8,-0.938,0.512,-0.242,,
654.9,-0.934,0.559,-0.254,,
655,-0.941,0.586,-0.293,,
655.1,-0.926,0.594,-0.313,,
655.2,-0.867,0.582,-0.301,,
655.3,-0.828,0.563,-0.285,,
655.4,-0.848,0.559,-0.277,,
655.5,-0.863,0.535,-0.285,,
655.6,-0.824,0.492,-0.27,,
655.7,-0.781,0.434,-0.246,,
655.8,-0.762,0.391,-0.211,,
655.9,-0.789,0.379,-0.195,,
656,-0.82,0.379,-0.211,,
656.1,-0.828,0.395,-0.227,,
656.2,-0.832,0.422,-0.227,,
656.3,-0.848,0.457,-0.227,,
656.4,-0.852,0.484,-0.23,,
656.5,-0.848,0.516,-0.227,,
656.6,-0.844,0.527,-0.223,,
656.7,-0.844,0.531,-0.219,,
656.8,-0.844,0.531,-0.207,,
656.9,-0.852,0.531,-0.195,,
657,-0.863,0.531,-0.184,,
657.1,-0.871,0.516,-0.18,,
657.2,-0.891,0.488,-0.191,,
657.3,-0.902,0.457,-0.211,,
657.4,-0.906,0.434,-0.215,,
657.5,-0.906,0.418,-0.215,,
657.6,-0.91,0.418,-0.211,,
657.7,-0.914,0.418,-0.207,,
657.8,-0.93,0.43,-0.207,,
657.9,-0.945,0.438,-0.207,,
658,-0.961,0.461,-0.219,,
658.1,-0.973,0.496,-0.234,,
658.2,-0.996,0.531,-0.258,,
658.3,-0.996,0.574,-0.258,,
658.4,-0.973,0.605,-0.238,,
658.5,-0.926,0.609,-0.16,,
658.6,-0.867,0.605,-0.066,,
658.7,-0.867,0.598,-0.039,,
658.8,-0.887,0.59,-0.055,,
658.9,-0.891,0.574,-0.086,,
659,-0.863,0.566,-0.109,,
659.1,-0.844,0.563,-0.121,,
659.2,-0.84,0.566,-0.168,,
659.3,-0.832,0.59,-0.227,,
659.4,-0.816,0.633,-0.297,,
659.5,-0.805,0.68,-0.324,,
659.6,-0.789,0.746,-0.324,,
659.7,-0.785,0.762,-0.32,,
659.8,-0.77,0.734,-0.301,,
659.9,-0.738,0.664,-0.285,,
660,-0.707,0.57,-0.309,,
660.1,-0.672,0.449,-0.344,,
660.2,-0.637,0.34,-0.379,,
660.3,-0.609,0.242,-0.406,,
660.4,-0.586,0.152,-0.426,,
660.5,-0.574,0.086,-0.438,,
660.6,-0.582,0.047,-0.445,,
660.7,-0.625,0.047,-0.457,,
660.8,-0.664,0.074,-0.461,,
660.9,-0.699,0.129,-0.441,,
661,-0.727,0.203,-0.43,,
661.1,-0.77,0.305,-0.445,,
661.2,-0.82,0.426,-0.414,,
661.3,-0.867,0.531,-0.297,,
661.4,-0.938,0.613,-0.152,,
661.5,-1.051,0.691,-0.031,,
661.6,-1.211,0.797,0.012,,
661.7,-1.348,0.898,-0.059,,
661.8,-1.348,0.977,-0.18,,
661.9,-1.191,0.992,-0.262,,
662,-0.973,0.922,-0.254,,
662.1,-0.813,0.793,-0.25,,
