LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.456401,-0.112267,0.013921,142507,2015-07-06 12:36:05:342
1.214275,-0.236957,0.805475,143007,2015-07-06 12:36:05:842
-1.376088,-0.795146,-0.849783,143507,2015-07-06 12:36:06:342
-0.318089,-1.320404,-0.403112,144008,2015-07-06 12:36:06:843
0.542322,-0.199535,0.477657,144513,2015-07-06 12:36:07:348
0.4808,-0.089813,0.873434,145007,2015-07-06 12:36:07:842
-0.732427,-0.994831,-1.43297,145506,2015-07-06 12:36:08:341
-2.007176,-0.637524,0.301922,146007,2015-07-06 12:36:08:842
-0.334255,-0.03847,-0.121398,146508,2015-07-06 12:36:09:343
0.173489,-0.022902,0.839454,147007,2015-07-06 12:36:09:842
-0.758024,0.004491,-1.583707,147506,2015-07-06 12:36:10:341
-0.940494,1.128653,1.571881,148007,2015-07-06 12:36:10:842
0.368983,-0.095352,0.102686,148507,2015-07-06 12:36:11:342
1.117277,-0.010029,0.092358,149007,2015-07-06 12:36:11:842
0.679886,0.342039,-1.929188,149508,2015-07-06 12:36:12:343
-0.594713,1.549877,0.961151,150008,2015-07-06 12:36:12:843
0.611928,-0.125888,0.154329,150507,2015-07-06 12:36:13:342
0.505948,-0.174537,0.463586,151007,2015-07-06 12:36:13:842
-0.429307,0.331411,-2.36104,151507,2015-07-06 12:36:14:342
-0.487686,-0.464634,0.801433,152007,2015-07-06 12:36:14:842
-0.52436,0.286205,0.313598,152507,2015-07-06 12:36:15:342
0.429307,-0.232317,0.446821,153007,2015-07-06 12:36:15:842
0.847687,1.340163,-0.786614,153507,2015-07-06 12:36:16:342
-1.922901,-0.498014,-0.473765,154007,2015-07-06 12:36:16:842
1.296155,-0.603246,-1.390309,154506,2015-07-06 12:36:17:341
1.016686,-0.376018,0.251627,155007,2015-07-06 12:36:17:842
0.061372,0.094154,-0.753982,155507,2015-07-06 12:36:18:342
-1.415606,-0.931363,-1.334475,156007,2015-07-06 12:36:18:842
-0.200284,-1.045426,0.852477,156507,2015-07-06 12:36:19:342
0.903371,-0.087119,-0.15852,157007,2015-07-06 12:36:19:842
0.513582,0.251477,-0.335452,157508,2015-07-06 12:36:20:343
-0.641266,-0.453407,-1.124013,158012,2015-07-06 12:36:20:847
-0.603545,-0.939147,0.896785,158507,2015-07-06 12:36:21:342
-0.280217,-0.065264,0.43739,159007,2015-07-06 12:36:21:842
0.671803,-0.708776,0.764161,159507,2015-07-06 12:36:22:342
-0.062869,0.207768,-1.328188,160007,2015-07-06 12:36:22:842
