,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,SUM,FILTER
212,0.501008,-0.299228,-0.373922,107507,2015-07-06 12:35:30:342,0.693083021,1.138149245
213,1.044378,-0.319735,0.964594,108007,2015-07-06 12:35:30:842,1.457188204,1.170053141
214,-0.396825,-0.253573,-1.753454,108507,2015-07-06 12:35:31:342,1.815590889,1.234606916
215,-0.872985,-0.626148,0.640967,109007,2015-07-06 12:35:31:842,1.251000729,1.236246297
216,0.599803,0.220491,0.222138,109507,2015-07-06 12:35:32:342,0.676553923,1.18027706
217,0.315843,-0.318538,0.527054,110007,2015-07-06 12:35:32:842,0.692104889,1.131459843
218,0.416883,0.093855,-2.011966,110507,2015-07-06 12:35:33:342,2.056844034,1.223998262
219,0.049846,-1.195115,0.503703,111007,2015-07-06 12:35:33:842,1.297883353,1.231386771
220,0.853824,0.096998,-0.541574,111507,2015-07-06 12:35:34:342,1.015739353,1.209822029
221,-0.229772,-0.20193,0.287552,112007,2015-07-06 12:35:34:842,0.419829786,1.130822805
222,0.180674,1.715433,-0.934806,112507,2015-07-06 12:35:35:342,1.961941826,1.213934707
223,-0.573308,-0.85577,0.515079,113011,2015-07-06 12:35:35:846,1.151664331,1.207707669
224,0.449815,0.129032,-0.185015,113507,2015-07-06 12:35:36:342,0.503203082,1.137257211
225,-0.099842,-0.101788,0.81745,114006,2015-07-06 12:35:36:841,0.829791374,1.106510627
226,-1.146765,-0.86565,-1.67367,114509,2015-07-06 12:35:37:344,2.205808504,1.216440415
227,-0.932112,-0.31734,1.002465,115007,2015-07-06 12:35:37:842,1.405159611,1.235312334
228,0.246986,-0.260458,-0.437241,115507,2015-07-06 12:35:38:342,0.565703231,1.168351424
229,1.945953,1.228495,0.238903,116007,2015-07-06 12:35:38:842,2.313656778,1.282881959
230,-0.282313,-0.630639,-1.542393,116507,2015-07-06 12:35:39:342,1.690083532,1.323602117
231,-0.968037,0.968336,0.700394,117007,2015-07-06 12:35:39:842,1.537960337,1.345037939
232,1.040786,-0.497416,0.337548,117507,2015-07-06 12:35:40:342,1.201913819,1.330725527
233,-0.159568,-0.464334,-1.432371,118007,2015-07-06 12:35:40:842,1.514184497,1.349071424
234,-0.342937,0.00943,-0.294438,118507,2015-07-06 12:35:41:342,0.452093405,1.259373622
235,-0.691712,0.86101,0.345033,119006,2015-07-06 12:35:41:841,1.1570875,1.24914501
236,-0.185764,-0.674198,-0.521665,119507,2015-07-06 12:35:42:342,0.8724595,1.211476459
237,0.316891,1.117875,1.260529,120007,2015-07-06 12:35:42:842,1.714350542,1.261763867
238,-0.836311,-0.598156,-1.988764,120507,2015-07-06 12:35:43:342,2.238836514,1.359471132
239,-0.056133,-1.247057,-0.529599,121007,2015-07-06 12:35:43:842,1.356015183,1.359125537
240,-0.655038,-0.202679,0.000748,121507,2015-07-06 12:35:44:342,0.685677853,1.291780768
241,2.079027,1.126857,0.436193,122007,2015-07-06 12:35:44:842,2.404667191,1.403069411
242,-1.450633,0.032932,-1.989812,122507,2015-07-06 12:35:45:342,2.462675864,1.509030056
243,0.222437,3.002307,1.042283,123006,2015-07-06 12:35:45:841,3.185856148,1.676712665
244,-0.599803,0.09595,0.172142,123507,2015-07-06 12:35:46:342,0.631350069,1.572176406
245,0.674946,0.546514,0.559087,124008,2015-07-06 12:35:46:843,1.032863945,1.518245159
246,-0.067809,-1.040786,-1.180146,124507,2015-07-06 12:35:47:342,1.574985124,1.523919156
247,-0.10089,1.585503,0.537083,125007,2015-07-06 12:35:47:842,1.677038075,1.539231048
248,-0.680036,0.036075,-0.629291,125512,2015-07-06 12:35:48:347,0.927231109,1.478031054
249,0.752485,-0.184117,0.28845,126009,2015-07-06 12:35:48:844,0.826641487,1.412892097
250,0.561782,0.618664,-1.88982,126508,2015-07-06 12:35:49:343,2.066340677,1.478236955
251,-1.272504,-0.642614,-0.31749,127007,2015-07-06 12:35:49:842,1.460485907,1.47646185
252,0.864901,-0.196242,-0.797691,127507,2015-07-06 12:35:50:342,1.192843491,1.448100014
253,0.183219,-0.374521,0.242196,128007,2015-07-06 12:35:50:842,0.482176403,1.351507653
254,-0.694107,0.50011,-1.156645,128508,2015-07-06 12:35:51:343,1.43865291,1.360222179
255,-0.773442,-1.035846,-0.508642,129007,2015-07-06 12:35:51:842,1.38921062,1.363121023
256,0.070054,0.390538,-0.12499,129507,2015-07-06 12:35:52:342,0.415992779,1.268408199
257,-0.145048,-0.207169,0.439336,130007,2015-07-06 12:35:52:842,0.506926067,1.192259986
258,1.637744,-0.242795,0.489782,130507,2015-07-06 12:35:53:342,1.726569208,1.245690908
259,-0.587678,-0.990191,-1.011147,131007,2015-07-06 12:35:53:842,1.532403962,1.274362213
260,-0.727936,-0.382455,0.487386,131507,2015-07-06 12:35:54:342,0.95588062,1.242514054
261,0.015418,-0.207618,0.056433,132007,2015-07-06 12:35:54:842,0.215702647,1.139832913
262,0.800685,-0.44712,0.652493,132507,2015-07-06 12:35:55:342,1.125504278,1.13840005
263,-0.39922,-0.530646,-1.298699,133006,2015-07-06 12:35:55:841,1.458622939,1.170422339
264,-1.45692,0.293989,0.616568,133507,2015-07-06 12:35:56:342,1.609099598,1.214290065
265,-0.090711,-0.306862,-0.40371,134007,2015-07-06 12:35:56:842,0.515145161,1.144375574
266,1.550626,1.295855,0.342338,134507,2015-07-06 12:35:57:342,2.049603981,1.234898415
267,-0.594414,-0.839903,-1.635349,135006,2015-07-06 12:35:57:841,1.932131311,1.304621705
268,-1.103505,2.01481,0.573907,135507,2015-07-06 12:35:58:342,2.367815843,1.410941118
269,0.24549,-0.20672,-0.45221,136006,2015-07-06 12:35:58:841,0.554519957,1.325299002
270,0.481249,0.438289,0.589175,136507,2015-07-06 12:35:59:342,0.877966416,1.280565744
271,-0.165406,-0.079934,-1.588048,137007,2015-07-06 12:35:59:842,1.598638496,1.312373019
272,-0.520617,-1.559756,0.352816,137508,2015-07-06 12:36:00:343,1.681772865,1.349313003
273,-0.517324,0.379311,0.292043,138012,2015-07-06 12:36:00:847,0.704833363,1.284865039
274,0.355211,-0.225731,0.564626,138507,2015-07-06 12:36:01:342,0.704224296,1.226800965
275,0.580044,1.294358,-0.673749,139007,2015-07-06 12:36:01:842,1.57027112,1.261147981
276,-1.00965,-0.84649,0.037123,139507,2015-07-06 12:36:02:342,1.318073048,1.266840487
277,0.716111,0.147443,-0.640219,140007,2015-07-06 12:36:02:842,0.971820339,1.237338472
