,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,SUM
239,-0.056133,-1.247057,-0.529599,121007,2015-07-06 12:35:43:842,1.35601518271
240,-0.655038,-0.202679,0.000748,121507,2015-07-06 12:35:44:342,0.685677852923
241,2.079027,1.126857,0.436193,122007,2015-07-06 12:35:44:842,2.40466719078
242,-1.450633,0.032932,-1.989812,122507,2015-07-06 12:35:45:342,2.46267586431
243,0.222437,3.002307,1.042283,123006,2015-07-06 12:35:45:841,3.18585614762
244,-0.599803,0.09595,0.172142,123507,2015-07-06 12:35:46:342,0.631350068879
245,0.674946,0.546514,0.559087,124008,2015-07-06 12:35:46:843,1.0328639449
246,-0.067809,-1.040786,-1.180146,124507,2015-07-06 12:35:47:342,1.57498512361
247,-0.10089,1.585503,0.537083,125007,2015-07-06 12:35:47:842,1.6770380747
248,-0.680036,0.036075,-0.629291,125512,2015-07-06 12:35:48:347,0.927231109056
249,0.752485,-0.184117,0.28845,126009,2015-07-06 12:35:48:844,0.826641486628
250,0.561782,0.618664,-1.88982,126508,2015-07-06 12:35:49:343,2.06634067685
251,-1.272504,-0.642614,-0.31749,127007,2015-07-06 12:35:49:842,1.46048590651
252,0.864901,-0.196242,-0.797691,127507,2015-07-06 12:35:50:342,1.19284349093
253,0.183219,-0.374521,0.242196,128007,2015-07-06 12:35:50:842,0.482176403216
254,-0.694107,0.50011,-1.156645,128508,2015-07-06 12:35:51:343,1.43865291004
255,-0.773442,-1.035846,-0.508642,129007,2015-07-06 12:35:51:842,1.38921062019
256,0.070054,0.390538,-0.12499,129507,2015-07-06 12:35:52:342,0.415992779336
257,-0.145048,-0.207169,0.439336,130007,2015-07-06 12:35:52:842,0.506926067352
258,1.637744,-0.242795,0.489782,130507,2015-07-06 12:35:53:342,1.72656920773
259,-0.587678,-0.990191,-1.011147,131007,2015-07-06 12:35:53:842,1.53240396233
260,-0.727936,-0.382455,0.487386,131507,2015-07-06 12:35:54:342,0.955880620223
261,0.015418,-0.207618,0.056433,132007,2015-07-06 12:35:54:842,0.215702647497
262,0.800685,-0.44712,0.652493,132507,2015-07-06 12:35:55:342,1.1255042775
263,-0.39922,-0.530646,-1.298699,133006,2015-07-06 12:35:55:841,1.45862293905
264,-1.45692,0.293989,0.616568,133507,2015-07-06 12:35:56:342,1.60909959827
265,-0.090711,-0.306862,-0.40371,134007,2015-07-06 12:35:56:842,0.51514516077
266,1.550626,1.295855,0.342338,134507,2015-07-06 12:35:57:342,2.04960398105
267,-0.594414,-0.839903,-1.635349,135006,2015-07-06 12:35:57:841,1.93213131143
268,-1.103505,2.01481,0.573907,135507,2015-07-06 12:35:58:342,2.36781584288
269,0.24549,-0.20672,-0.45221,136006,2015-07-06 12:35:58:841,0.5545199569
270,0.481249,0.438289,0.589175,136507,2015-07-06 12:35:59:342,0.877966416298
271,-0.165406,-0.079934,-1.588048,137007,2015-07-06 12:35:59:842,1.59863849556
272,-0.520617,-1.559756,0.352816,137508,2015-07-06 12:36:00:343,1.68177286519
273,-0.517324,0.379311,0.292043,138012,2015-07-06 12:36:00:847,0.704833362963
274,0.355211,-0.225731,0.564626,138507,2015-07-06 12:36:01:342,0.704224295774
275,0.580044,1.294358,-0.673749,139007,2015-07-06 12:36:01:842,1.57027111962
276,-1.00965,-0.84649,0.037123,139507,2015-07-06 12:36:02:342,1.31807304795
277,0.716111,0.147443,-0.640219,140007,2015-07-06 12:36:02:842,0.971820338607
278,0.309706,-0.159119,0.398172,140507,2015-07-06 12:36:03:342,0.528940076172
279,0.926573,-0.186662,0.37018,141007,2015-07-06 12:36:03:842,1.01509283269
280,-0.76955,-0.852777,-0.045206,141507,2015-07-06 12:36:04:342,1.14955617378
281,-0.010628,-0.362097,-0.414488,142007,2015-07-06 12:36:04:842,0.550479331072
282,-0.456401,-0.112267,0.013921,142507,2015-07-06 12:36:05:342,0.470212235412
283,1.214275,-0.236957,0.805475,143007,2015-07-06 12:36:05:842,1.47627990947
